uf,tipo_crime,ano,mes,quantidade_ocorrencias
Amazonas,Lesão corporal seguida de morte,2022,11,5
Amazonas,Roubo a instituição financeira,2022,11,0
Amazonas,Roubo de carga,2022,11,0
Amazonas,Roubo de veículo,2022,11,109
Amazonas,Roubo seguido de morte (latrocínio),2022,11,5
Amazonas,Tentativa de homicídio,2022,11,17
Amazonas,Estupro,2022,12,83
Amazonas,Furto de veículo,2022,12,158
Amazonas,Homicídio doloso,2022,12,108
Amazonas,Lesão corporal seguida de morte,2022,12,2
Amazonas,Roubo a instituição financeira,2022,12,0
Amazonas,Roubo de carga,2022,12,2
Amazonas,Roubo de veículo,2022,12,118
Amazonas,Roubo seguido de morte (latrocínio),2022,12,5
Amazonas,Tentativa de homicídio,2022,12,41
Bahia,Estupro,2022,1,234
Bahia,Furto de veículo,2022,1,420
Bahia,Homicídio doloso,2022,1,373
Bahia,Lesão corporal seguida de morte,2022,1,4
Bahia,Roubo a instituição financeira,2022,1,0
Bahia,Roubo de carga,2022,1,30
Bahia,Roubo de veículo,2022,1,903
Bahia,Roubo seguido de morte (latrocínio),2022,1,4
Bahia,Tentativa de homicídio,2022,1,154
Bahia,Estupro,2022,2,243
Bahia,Furto de veículo,2022,2,437
Bahia,Homicídio doloso,2022,2,387
Bahia,Lesão corporal seguida de morte,2022,2,4
Bahia,Roubo a instituição financeira,2022,2,3
Bahia,Roubo de carga,2022,2,34
Bahia,Roubo de veículo,2022,2,954
Bahia,Roubo seguido de morte (latrocínio),2022,2,8
Bahia,Tentativa de homicídio,2022,2,140
Bahia,Estupro,2022,3,276
Bahia,Furto de veículo,2022,3,535
Bahia,Homicídio doloso,2022,3,454
Bahia,Lesão corporal seguida de morte,2022,3,5
Bahia,Roubo a instituição financeira,2022,3,0
Bahia,Roubo de carga,2022,3,28
Bahia,Roubo de veículo,2022,3,1100
Bahia,Roubo seguido de morte (latrocínio),2022,3,5
Bahia,Tentativa de homicídio,2022,3,171
Bahia,Estupro,2022,4,311
Bahia,Furto de veículo,2022,4,550
Bahia,Homicídio doloso,2022,4,403
Bahia,Lesão corporal seguida de morte,2022,4,5
Bahia,Roubo a instituição financeira,2022,4,0
Bahia,Roubo de carga,2022,4,17
Bahia,Roubo de veículo,2022,4,948
Bahia,Roubo seguido de morte (latrocínio),2022,4,8
Bahia,Tentativa de homicídio,2022,4,159
Bahia,Estupro,2022,5,342
Bahia,Furto de veículo,2022,5,558
Bahia,Homicídio doloso,2022,5,412
Bahia,Lesão corporal seguida de morte,2022,5,4
Bahia,Roubo a instituição financeira,2022,5,0
Bahia,Roubo de carga,2022,5,28
Bahia,Roubo de veículo,2022,5,986
Bahia,Roubo seguido de morte (latrocínio),2022,5,5
Bahia,Tentativa de homicídio,2022,5,163
Bahia,Estupro,2022,6,321
Bahia,Furto de veículo,2022,6,614
Bahia,Homicídio doloso,2022,6,362
Bahia,Lesão corporal seguida de morte,2022,6,10
Bahia,Roubo a instituição financeira,2022,6,0
Bahia,Roubo de carga,2022,6,16
Bahia,Roubo de veículo,2022,6,1032
Bahia,Roubo seguido de morte (latrocínio),2022,6,12
Bahia,Tentativa de homicídio,2022,6,211
Bahia,Estupro,2022,7,332
Bahia,Furto de veículo,2022,7,653
Bahia,Homicídio doloso,2022,7,376
Bahia,Lesão corporal seguida de morte,2022,7,1
Bahia,Roubo a instituição financeira,2022,7,0
Bahia,Roubo de carga,2022,7,30
Bahia,Roubo de veículo,2022,7,1034
Bahia,Roubo seguido de morte (latrocínio),2022,7,5
Bahia,Tentativa de homicídio,2022,7,177
Bahia,Estupro,2022,8,352
Bahia,Furto de veículo,2022,8,577
Bahia,Homicídio doloso,2022,8,350
Bahia,Lesão corporal seguida de morte,2022,8,6
Bahia,Roubo a instituição financeira,2022,8,0
Bahia,Roubo de carga,2022,8,28
Bahia,Roubo de veículo,2022,8,1046
Bahia,Roubo seguido de morte (latrocínio),2022,8,6
Bahia,Tentativa de homicídio,2022,8,165
Bahia,Estupro,2022,9,339
Bahia,Furto de veículo,2022,9,575
Bahia,Homicídio doloso,2022,9,355
Bahia,Lesão corporal seguida de morte,2022,9,4
Bahia,Roubo a instituição financeira,2022,9,0
Bahia,Roubo de carga,2022,9,27
Bahia,Roubo de veículo,2022,9,1050
Bahia,Roubo seguido de morte (latrocínio),2022,9,7
Bahia,Tentativa de homicídio,2022,9,188
Bahia,Estupro,2022,10,383
Bahia,Furto de veículo,2022,10,607
Bahia,Homicídio doloso,2022,10,421
Bahia,Lesão corporal seguida de morte,2022,10,3
Bahia,Roubo a instituição financeira,2022,10,3
Bahia,Roubo de carga,2022,10,30
Bahia,Roubo de veículo,2022,10,1019
Bahia,Roubo seguido de morte (latrocínio),2022,10,9
Bahia,Tentativa de homicídio,2022,10,202
Bahia,Estupro,2022,11,328
Bahia,Furto de veículo,2022,11,576
Bahia,Homicídio doloso,2022,11,386
Bahia,Lesão corporal seguida de morte,2022,11,8
Bahia,Roubo a instituição financeira,2022,11,0
Bahia,Roubo de carga,2022,11,26
Bahia,Roubo de veículo,2022,11,1049
Bahia,Roubo seguido de morte (latrocínio),2022,11,5
Bahia,Tentativa de homicídio,2022,11,191
Bahia,Estupro,2022,12,288
Bahia,Furto de veículo,2022,12,564
Bahia,Homicídio doloso,2022,12,408
Bahia,Lesão corporal seguida de morte,2022,12,3
Bahia,Roubo a instituição financeira,2022,12,0
Bahia,Roubo de carga,2022,12,44
Bahia,Roubo de veículo,2022,12,1103
Bahia,Roubo seguido de morte (latrocínio),2022,12,10
Bahia,Tentativa de homicídio,2022,12,163
Ceará,Estupro,2022,1,111
Ceará,Furto de veículo,2022,1,345
Ceará,Homicídio doloso,2022,1,241
Ceará,Lesão corporal seguida de morte,2022,1,1
Ceará,Roubo a instituição financeira,2022,1,0
Ceará,Roubo de carga,2022,1,4
Ceará,Roubo de veículo,2022,1,666
Ceará,Roubo seguido de morte (latrocínio),2022,1,6
Ceará,Tentativa de homicídio,2022,1,64
Ceará,Estupro,2022,2,109
Ceará,Furto de veículo,2022,2,396
Ceará,Homicídio doloso,2022,2,252
Ceará,Lesão corporal seguida de morte,2022,2,1
Ceará,Roubo a instituição financeira,2022,2,0
Ceará,Roubo de carga,2022,2,4
Ceará,Roubo de veículo,2022,2,583
Ceará,Roubo seguido de morte (latrocínio),2022,2,0
Ceará,Tentativa de homicídio,2022,2,83
Ceará,Estupro,2022,3,146
Ceará,Furto de veículo,2022,3,379
Ceará,Homicídio doloso,2022,3,214
Ceará,Lesão corporal seguida de morte,2022,3,1
Ceará,Roubo a instituição financeira,2022,3,0
Ceará,Roubo de carga,2022,3,3
Ceará,Roubo de veículo,2022,3,629
Ceará,Roubo seguido de morte (latrocínio),2022,3,3
Ceará,Tentativa de homicídio,2022,3,81
Ceará,Estupro,2022,4,122
Ceará,Furto de veículo,2022,4,453
Ceará,Homicídio doloso,2022,4,218
Ceará,Lesão corporal seguida de morte,2022,4,0
Ceará,Roubo a instituição financeira,2022,4,0
Ceará,Roubo de carga,2022,4,2
Ceará,Roubo de veículo,2022,4,660
Ceará,Roubo seguido de morte (latrocínio),2022,4,5
Ceará,Tentativa de homicídio,2022,4,102
Ceará,Estupro,2022,5,178
Ceará,Furto de veículo,2022,5,476
Ceará,Homicídio doloso,2022,5,248
Ceará,Lesão corporal seguida de morte,2022,5,3
Ceará,Roubo a instituição financeira,2022,5,0
Ceará,Roubo de carga,2022,5,5
Ceará,Roubo de veículo,2022,5,626
Ceará,Roubo seguido de morte (latrocínio),2022,5,1
Ceará,Tentativa de homicídio,2022,5,79
Ceará,Estupro,2022,6,142
Ceará,Furto de veículo,2022,6,513
Ceará,Homicídio doloso,2022,6,203
Ceará,Lesão corporal seguida de morte,2022,6,2
Ceará,Roubo a instituição financeira,2022,6,1
Ceará,Roubo de carga,2022,6,8
Ceará,Roubo de veículo,2022,6,576
Ceará,Roubo seguido de morte (latrocínio),2022,6,3
Ceará,Tentativa de homicídio,2022,6,73
Ceará,Estupro,2022,7,157
Ceará,Furto de veículo,2022,7,464
Ceará,Homicídio doloso,2022,7,229
Ceará,Lesão corporal seguida de morte,2022,7,5
Ceará,Roubo a instituição financeira,2022,7,0
Ceará,Roubo de carga,2022,7,6
Ceará,Roubo de veículo,2022,7,618
Ceará,Roubo seguido de morte (latrocínio),2022,7,5
Ceará,Tentativa de homicídio,2022,7,78
Ceará,Estupro,2022,8,192
Ceará,Furto de veículo,2022,8,549
Ceará,Homicídio doloso,2022,8,230
Ceará,Lesão corporal seguida de morte,2022,8,0
Ceará,Roubo a instituição financeira,2022,8,2
Ceará,Roubo de carga,2022,8,8
Ceará,Roubo de veículo,2022,8,626
Ceará,Roubo seguido de morte (latrocínio),2022,8,3
Ceará,Tentativa de homicídio,2022,8,77
Ceará,Estupro,2022,9,185
Ceará,Furto de veículo,2022,9,482
Ceará,Homicídio doloso,2022,9,224
Ceará,Lesão corporal seguida de morte,2022,9,1
Ceará,Roubo a instituição financeira,2022,9,1
Ceará,Roubo de carga,2022,9,11
Ceará,Roubo de veículo,2022,9,669
Ceará,Roubo seguido de morte (latrocínio),2022,9,5
Ceará,Tentativa de homicídio,2022,9,82
Ceará,Estupro,2022,10,190
Ceará,Furto de veículo,2022,10,594
Ceará,Homicídio doloso,2022,10,232
Ceará,Lesão corporal seguida de morte,2022,10,1
Ceará,Roubo a instituição financeira,2022,10,2
Ceará,Roubo de carga,2022,10,0
Ceará,Roubo de veículo,2022,10,612
Ceará,Roubo seguido de morte (latrocínio),2022,10,0
Ceará,Tentativa de homicídio,2022,10,95
Ceará,Estupro,2022,11,133
Ceará,Furto de veículo,2022,11,631
Ceará,Homicídio doloso,2022,11,217
Ceará,Lesão corporal seguida de morte,2022,11,1
Ceará,Roubo a instituição financeira,2022,11,0
Ceará,Roubo de carga,2022,11,4
Ceará,Roubo de veículo,2022,11,705
Ceará,Roubo seguido de morte (latrocínio),2022,11,4
Ceará,Tentativa de homicídio,2022,11,102
Ceará,Estupro,2022,12,136
Ceará,Furto de veículo,2022,12,622
Ceará,Homicídio doloso,2022,12,229
Ceará,Lesão corporal seguida de morte,2022,12,0
Ceará,Roubo a instituição financeira,2022,12,1
Ceará,Roubo de carga,2022,12,11
Ceará,Roubo de veículo,2022,12,727
Ceará,Roubo seguido de morte (latrocínio),2022,12,7
Ceará,Tentativa de homicídio,2022,12,99
Distrito Federal,Estupro,2022,1,48
Distrito Federal,Furto de veículo,2022,1,286
Distrito Federal,Homicídio doloso,2022,1,14
Distrito Federal,Lesão corporal seguida de morte,2022,1,0
Distrito Federal,Roubo a instituição financeira,2022,1,0
Distrito Federal,Roubo de carga,2022,1,3
Distrito Federal,Roubo de veículo,2022,1,128
Distrito Federal,Roubo seguido de morte (latrocínio),2022,1,2
Distrito Federal,Tentativa de homicídio,2022,1,40
Distrito Federal,Estupro,2022,2,50
Distrito Federal,Furto de veículo,2022,2,251
Distrito Federal,Homicídio doloso,2022,2,25
Distrito Federal,Lesão corporal seguida de morte,2022,2,1
Distrito Federal,Roubo a instituição financeira,2022,2,0
Distrito Federal,Roubo de carga,2022,2,3
Distrito Federal,Roubo de veículo,2022,2,143
Distrito Federal,Roubo seguido de morte (latrocínio),2022,2,0
Distrito Federal,Tentativa de homicídio,2022,2,32
Distrito Federal,Estupro,2022,3,50
Distrito Federal,Furto de veículo,2022,3,296
Distrito Federal,Homicídio doloso,2022,3,20
Distrito Federal,Lesão corporal seguida de morte,2022,3,1
Distrito Federal,Roubo a instituição financeira,2022,3,0
Distrito Federal,Roubo de carga,2022,3,0
Distrito Federal,Roubo de veículo,2022,3,143
Distrito Federal,Roubo seguido de morte (latrocínio),2022,3,2
