uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Ceará,Lesão corporal seguida de morte,2022,3,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,3,Masculino,1
Ceará,Lesão corporal seguida de morte,2022,3,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,4,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,4,Masculino,0
Ceará,Lesão corporal seguida de morte,2022,4,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,5,Feminino,1
Ceará,Lesão corporal seguida de morte,2022,5,Masculino,2
Ceará,Lesão corporal seguida de morte,2022,5,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,6,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,6,Masculino,2
Ceará,Lesão corporal seguida de morte,2022,6,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,7,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,7,Masculino,5
Ceará,Lesão corporal seguida de morte,2022,7,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,8,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,8,Masculino,0
Ceará,Lesão corporal seguida de morte,2022,8,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,9,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,9,Masculino,1
Ceará,Lesão corporal seguida de morte,2022,9,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,10,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,10,Masculino,1
Ceará,Lesão corporal seguida de morte,2022,10,Nao informado,0
Ceará,Lesão corporal seguida de morte,2022,11,Feminino,0
Ceará,Lesão corporal seguida de morte,2022,11,Masculino,1
